Date,Open,High,Low,Close,Adj Close,Volume
2017-06-05,2.020000,2.080000,1.980000,2.040000,2.040000,2677900
2017-06-06,2.000000,2.150000,2.000000,2.110000,2.110000,3931200
2017-06-07,2.130000,2.210000,2.030000,2.070000,2.070000,4135500
2017-06-08,2.050000,2.180000,2.050000,2.120000,2.120000,3281300
2017-06-09,2.090000,2.170000,2.020000,2.040000,2.040000,3869200
2017-06-12,2.040000,2.150000,2.020000,2.130000,2.130000,3537200
2017-06-13,2.150000,2.170000,2.120000,2.160000,2.160000,2512300
2017-06-14,2.150000,2.170000,2.090000,2.120000,2.120000,1941900
2017-06-15,2.110000,2.150000,2.090000,2.130000,2.130000,2078700
2017-06-16,2.120000,2.230000,2.080000,2.200000,2.200000,9780100
2017-06-19,2.180000,2.220000,2.140000,2.180000,2.180000,2826800
2017-06-20,2.220000,2.250000,2.060000,2.090000,2.090000,3393600
2017-06-21,2.090000,2.190000,2.090000,2.170000,2.170000,2752300
2017-06-22,2.180000,2.240000,2.150000,2.190000,2.190000,2922400
2017-06-23,2.190000,2.290000,2.160000,2.280000,2.280000,7016000
2017-06-26,2.280000,2.300000,2.120000,2.170000,2.170000,4445800
2017-06-27,2.160000,2.190000,2.100000,2.100000,2.100000,4132100
2017-06-28,2.130000,2.170000,2.050000,2.140000,2.140000,5462600
2017-06-29,2.110000,2.140000,2.040000,2.050000,2.050000,2409200
2017-06-30,2.070000,2.150000,2.010000,2.130000,2.130000,4145500
2017-07-03,2.130000,2.170000,2.080000,2.150000,2.150000,1389300
